2023-11-20 18:07:12,604 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Configure stats pid to 6115
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Loading settings from /Users/milo/.config/wandb/settings
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Loading settings from /Users/milo/Documents/AI/genAi/utils/wandb/settings
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'silent': 'true'}
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'utils/modelStats.py', 'program_abspath': '/Users/milo/Documents/AI/genAi/utils/modelStats.py', 'program': '/Users/milo/Documents/AI/genAi/utils/modelStats.py'}
2023-11-20 18:07:12,605 INFO    MainThread:6115 [wandb_init.py:_log_setup():524] Logging user logs to /Users/milo/Documents/AI/genAi/utils/wandb/run-20231120_180712-r9y27xpj/logs/debug.log
2023-11-20 18:07:12,606 INFO    MainThread:6115 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/milo/Documents/AI/genAi/utils/wandb/run-20231120_180712-r9y27xpj/logs/debug-internal.log
2023-11-20 18:07:12,606 INFO    MainThread:6115 [wandb_init.py:init():564] calling init triggers
2023-11-20 18:07:12,606 INFO    MainThread:6115 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'project_name': 'demo_setup', 'experiment_name': 'experiment-1', 'learning-rate': 0.001}
2023-11-20 18:07:12,606 INFO    MainThread:6115 [wandb_init.py:init():614] starting backend
2023-11-20 18:07:12,606 INFO    MainThread:6115 [wandb_init.py:init():618] setting up manager
2023-11-20 18:07:12,609 INFO    MainThread:6115 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-20 18:07:12,611 INFO    MainThread:6115 [wandb_init.py:init():624] backend started and connected
2023-11-20 18:07:12,616 INFO    MainThread:6115 [wandb_init.py:init():716] updated telemetry
2023-11-20 18:07:12,631 INFO    MainThread:6115 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-20 18:07:13,037 INFO    MainThread:6115 [wandb_run.py:_on_init():2254] communicating current version
2023-11-20 18:07:13,094 INFO    MainThread:6115 [wandb_run.py:_on_init():2263] got version response 
2023-11-20 18:07:13,094 INFO    MainThread:6115 [wandb_init.py:init():800] starting run threads in backend
2023-11-20 18:07:15,533 INFO    MainThread:6115 [wandb_run.py:_console_start():2233] atexit reg
2023-11-20 18:07:15,533 INFO    MainThread:6115 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-20 18:07:15,534 INFO    MainThread:6115 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-20 18:07:15,534 INFO    MainThread:6115 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-20 18:07:15,534 INFO    MainThread:6115 [wandb_init.py:init():841] run started, returning control to user process
2023-11-20 18:07:15,534 INFO    MainThread:6115 [wandb_run.py:_finish():1962] finishing run milo-ucl/demo_setup/r9y27xpj
2023-11-20 18:07:15,534 INFO    MainThread:6115 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-11-20 18:07:15,534 INFO    MainThread:6115 [wandb_run.py:_restore():2185] restore
2023-11-20 18:07:15,535 INFO    MainThread:6115 [wandb_run.py:_restore():2191] restore done
