2023-11-20 18:13:54,647 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Configure stats pid to 6345
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Loading settings from /Users/milo/.config/wandb/settings
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Loading settings from /Users/milo/Documents/AI/genAi/utils/wandb/settings
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'silent': 'true'}
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'utils/modelStats.py', 'program_abspath': '/Users/milo/Documents/AI/genAi/utils/modelStats.py', 'program': '/Users/milo/Documents/AI/genAi/utils/modelStats.py'}
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_init.py:_log_setup():524] Logging user logs to /Users/milo/Documents/AI/genAi/utils/wandb/run-20231120_181354-270v4b1u/logs/debug.log
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/milo/Documents/AI/genAi/utils/wandb/run-20231120_181354-270v4b1u/logs/debug-internal.log
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_init.py:init():564] calling init triggers
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'project_name': 'demo_setup', 'experiment_name': 'experiment-unet', 'learning-rate': 0.001}
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_init.py:init():614] starting backend
2023-11-20 18:13:54,648 INFO    MainThread:6345 [wandb_init.py:init():618] setting up manager
2023-11-20 18:13:54,650 INFO    MainThread:6345 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-20 18:13:54,652 INFO    MainThread:6345 [wandb_init.py:init():624] backend started and connected
2023-11-20 18:13:54,655 INFO    MainThread:6345 [wandb_init.py:init():716] updated telemetry
2023-11-20 18:13:54,673 INFO    MainThread:6345 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-20 18:13:55,061 INFO    MainThread:6345 [wandb_run.py:_on_init():2254] communicating current version
2023-11-20 18:13:55,115 INFO    MainThread:6345 [wandb_run.py:_on_init():2263] got version response 
2023-11-20 18:13:55,115 INFO    MainThread:6345 [wandb_init.py:init():800] starting run threads in backend
2023-11-20 18:13:57,140 INFO    MainThread:6345 [wandb_run.py:_console_start():2233] atexit reg
2023-11-20 18:13:57,140 INFO    MainThread:6345 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-20 18:13:57,140 INFO    MainThread:6345 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-20 18:13:57,140 INFO    MainThread:6345 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-20 18:13:57,141 INFO    MainThread:6345 [wandb_init.py:init():841] run started, returning control to user process
2023-11-20 18:13:57,141 INFO    MainThread:6345 [wandb_run.py:_finish():1962] finishing run milo-ucl/demo_setup/270v4b1u
2023-11-20 18:13:57,141 INFO    MainThread:6345 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-11-20 18:13:57,141 INFO    MainThread:6345 [wandb_run.py:_restore():2185] restore
2023-11-20 18:13:57,141 INFO    MainThread:6345 [wandb_run.py:_restore():2191] restore done
